question,issue,reverse,anes_issue
There are always some people whose ideas are considered bad or dangerous by other people. For instance somebody who is against all churches and religion. If some people in your community suggested that a book he wrote against churches and religion should be taken out of your public library -- would you favor removing this book?,libath,NA,NA
Consider a man who admits he is a Communist.  Suppose he wrote a book which is in your public library. Somebody in your community suggests that the book should be removed from the library. Would you favor removing it?,libcom,NA,NA
Consider a man who admits that he is a homosexual. If some people in your community suggested that a book he wrote in favor of homosexuality should be taken out of your public library -- would you favor removing this book?,libhomo,NA,NA
Consider a person who advocates doing away with elections and letting the military run the country. Suppose he wrote a book advocating doing away with elections and letting the military run the country. Somebody in your community suggests that the book be removed from the public library. Would you favor removing it?,libmil,NA,NA
Consider a person who believes that Blacks are genetically inferior. If some people in your community suggested that a book he wrote which said Blacks are inferior should be taken out of your public library -- would you favor removing this book?,librac,NA,NA
Would you be in favor of having a close relative or family member marry a black person?,marblk,NA,NA
Would you be in favor of having a close relative or family member marry an Asian American person?,marasian,NA,NA
Would you be in favor of having a close relative or family member marry a Hispanic American person?,marhisp,NA,NA
Homosexual couples should have the right to marry one another.,marhomo,NA,NA
Would you be in favor of having a close relative or family member marry a white person?,marwht,NA,NA
Do you agree that methods of birth control should be available to teenagers between the ages of 14 and 16 if their parents do not approve?,pillok,NA,NA
Would you approve of a policeman striking a citizen who had said vulgar and obscene things to the policeman?,polabuse,NA,NA
Would you approve of a policeman striking a citizen who was attacking the policeman with his fists?,polattak,NA,NA
Would you approve of a policeman striking a citizen who was attempting to escape from custody?,polescap,NA,NA
Are there any situations you can imagine in which you would approve of a policeman striking an adult male citizen?,polhitok,NA,NA
Would you approve of a policeman striking a citizen who was being questioned as a suspect in a murder case?,polmurdr,NA,NA
Consider your feelings about pornography laws. Do you think it should be illegal?,pornlaw,NA,NA
There's been a lot of discussion about the way morals and attitudes about sex are changing in this country. If a man and woman have sex relations before marriage -- do you think it is wrong?,premarsx,NA,NA
If you and your friends belonged to a social club that would not let African-Americans join -- would you try to change the rules so that African-Americans could join?,racchng,NA,NA
Would you yourself have any objection to sending your children to a school where a few of the children are African-Americans?,racfew,NA,NA
Would you yourself have any objection to sending your children to a school where half of the children are African-Americans?,rachaf,NA,NA
Would you yourself have any objection to sending your children to a school where more than half of the children are African-Americans?,racmost,NA,NA
Do you think there should be laws against marriages between African-Americans and whites?,racmar,NA,NA
Suppose there is a community-wide vote on the general housing issue. There are two possible laws to vote on (OWNER DECIDES and CAN'T DISCRIMINATE). Would you vote for owner decides?,racopen,NA,NA
African-Americans shouldn't push themselves where they're not wanted.,racpush,NA,NA
White people have a right to keep African-Americans out of their neighborhoods if they want to and African-Americans should respect that right.,racseg,NA,NA
Would you be for sex education in the public schools?,sexeduc,NA,NA
Do you agree that it is sometimes necessary to discipline a child with a good hard spanking?,spanking,NA,NA
Consider somebody who is against all churches and religion. If such a person wanted to make a speech in your (city/town/community) against churches and religion -- should he be allowed to speak?,spkath,NA,NA
Consider a man who admits he is a Communist. Suppose this admitted Communist wanted to make a speech in your community. Should he be allowed to speak?,spkcom,NA,NA
Consider a man who admits that he is a homosexual? Suppose this admitted homosexual wanted to make a speech in your community. Should he be allowed to speak?,spkhomo,NA,NA
Consider a person who advocates doing away with elections and letting the military run the country. If such a person wanted to make a speech in your community -- should he be allowed to speak?,spkmil,NA,NA
Consider a person who believes that Blacks are genetically inferior. If such a person wanted to make a speech in your community claiming that Blacks are inferior -- should he be allowed to speak?,spkrac,NA,NA
Do you think a person has the right to end his or her own life if this person has an incurable disease?,suicide1,NA,NA
Do you think a person has the right to end his or her own life if this person has gone bankrupt?,suicide2,NA,NA
Do you think a person has the right to end his or her own life if this person has dishonored his or her family?,suicide3,NA,NA
Do you think a person has the right to end his or her own life if this person is tired of living and ready to die?,suicide4,NA,NA
Consider people who are in their early teens -- say 14 to 16 years old. In that case: do you think sex relations before marriage are wrong?,teensex,NA,NA
Everything considered: would you say that -- in general -- you approve of wiretapping?,wirtap,NA,NA
Irish and Italians and Jewish and many other minorities overcame prejudice and worked their way up. Blacks should do the same without special favors.,wrkwayup,0,blacks_nofavors
What is your opinion about a married person having sexual relations with someone other than the marriage partner--is it wrong?,xmarsex,NA,NA
Now consider a Muslim clergyman who preaches hatred of the United States. If such a person wanted to make a speech in your community preaching hatred of the United States - should he be allowed to speak?,spkmslm,NA,NA
Now consider a Muslim clergyman who preaches hatred of the United States. Should such a person be allowed to teach in a college or university?,colmslm,NA,NA
Some people say that because of past discrimination - blacks should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of blacks is wrong because it discriminates against whites. What about your opinion - are you for preferential hiring and promotion of blacks?,affrmact,0,blacks_hiring
Those who violate God's rules must be punished.,punsin,NA,NA
People should be willing to help others who are less fortunate.,othshelp,NA,NA
Those in need have to learn to take care of themselves and not depend on others.,careself,NA,NA
Even if it brings no immediate benefits - scientific research that advances the frontiers of knowledge is necessary and should be supported by the federal government.,advfront,NA,NA
In general - would you say that people should obey the law without exception rather than there are exceptional occasions on which people should follow their consciences even if it means breaking the law?,obeylaw,NA,NA
On the whole - do you think it should be the government's responsibility to impose strict laws to make industry do less damage to the environment?,grnlaws,NA,NA
People who want children ought to get married.,marlegit,NA,NA
A man's job is to earn money - a woman's job is to look after the home and family.,hubbywk1,1,women_equal
Both the husband and the wife should contribute to the household income.,twoincs1,NA,NA
Do you personally think it is wrongfor a woman to have an abortion if there is a strong chance of serious defect in the baby.,abdefctw,1,abort_need
Do you personally think it is wrong for a woman to have an abortion if the family has a very low income and cannot afford any more children.,abpoorw,1,abort_need
Religious leaders should not try to influence how people vote in elections.,clergvte,NA,NA
Religious leaders should not try to influence government decisions.,clerggov,NA,NA
Government should let ordinary people decide for themselves how to protect the environment - even if it means they don't always dothe right thing - rather than passing laws to make ordinary people protect the environment as it interferes with people's right to make their own decisions.,pubdecid,NA,NA
Government should let businesses decide for themselves how to protect the environment - even if it means they don't always do the right thing - rather than passing laws to make businesses protect the environment as it interferes with business' right to make their own decisions.,busdecid,NA,NA
People should support their country even if the country is in the wrong.,ifwrong,NA,NA
For certain problems - like environmental pollution - international bodies should have the right to enforce solutions.,wrldgovt,NA,NA
America should follow its own interests - even if this leads to conflicts with other nations.,amownway,NA,NA
Foreigners should not be allowed to buy land in America.,forland,NA,NA
American television should give preference to American films and programs.,amtv,NA,NA
Ethnic minorities should be given government assistance to preserve their customs and traditions.,mincult,NA,NA
